caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2687241,09-03-2020,1,Anjing,60,Rabies,Bali,Gianyar,Tegallalang,Taro,115.290665934845,-8.37497299999995
2536860,19-08-2020,1,Anjing,60,Rabies,Bali,Tabanan,Tabanan,Dajan Peken,115.117866174062,-8.53923549999996
2674115,24-09-2020,1,Anjing,60,Rabies,Sumatera Barat,Lima Puluh Kota,Payakumbuh,Taeh Baruah,100.59726722663,-0.153280242999955
2680124,15-01-2020,5,Anjing,60,Rabies,Sulawesi Tengah,Toli Toli,Baolan,Tuweley,120.933276683741,0.930097459500047
2673235,17-07-2020,1,Anjing,60,Rabies,Nusa Tenggara Timur,Ngada,Inerie,Kelitei,120.931695179483,-8.89632249099995
2682966,10-09-2020,1,kucing,64,Rabies,Sulawesi Utara,Kepulauan Sangihe,Tamako,Ulungpeliang,125.555375506671,3.49355928050005
2677707,22-04-2020,1,Anjing,60,Rabies,Sulawesi Tengah,Banggai Kepulauan,Peling Tengah,Kolak,123.187766645704,-1.40807287999993
2668935,30-07-2020,1,kucing,64,Rabies,Riau,Pekanbaru,Marpoyan Damai,Sidomulyo Timur,101.403705535314,0.419329955500046
2527385,04-08-2020,1,Anjing,60,Rabies,Bali,Tabanan,Kediri,Belalang,115.110135302871,-8.60841299999996
2673141,30-04-2020,1,Anjing,60,Rabies,Sulawesi Utara,Minahasa,Tombariri Timur,Lolah,124.737975,1.364005
2682837,16-07-2020,1,anjing kampung,519,Rabies,Sulawesi Tengah,Banggai Laut,Banggai,Dangkalan,123.52546451939,-1.59778778449993
2446163,31-03-2020,1,anjing lokal,62,Rabies,Riau,Bengkalis,Mandau,Balik Alam,101.164515183584,1.18062275550002
2571041,09-10-2020,1,Anjing,60,Rabies,Bali,Karang Asem,Abang,Ababi,115.600337068526,-8.41890049999995
2674088,04-08-2020,1,kucing,64,Rabies,Sumatera Barat,Lima Puluh Kota,Luhak,Sei Kemuyang,100.684218928517,-0.275139003499959
2683272,28-09-2020,1,Anjing,60,Rabies,Sumatera Utara,Medan,Medan Tuntungan,Simpang Selayang,98.6140298193985,3.55506703800006
2396202,28-01-2020,1,Anjing,60,Rabies,Bali,Karang Asem,Manggis,Antiga Kelod,115.503204026851,-8.50554813199994
2526832,03-08-2020,1,Anjing,60,Rabies,Bali,Tabanan,Tabanan,Dauh Peken,115.103378590158,-8.54706049999996
2589244,05-11-2020,1,anjing lokal,62,Rabies,Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Lito,117.510383139659,-8.68713599999995
2674719,18-12-2020,1,Anjing,60,Rabies,Sulawesi Utara,Minahasa,Pineleng,Sea,124.783824405993,1.39898017800004
2498972,23-06-2020,1,Anjing,60,Rabies,Bali,Bangli,Kintamani,Abang Batu Dinding,115.420419728173,-8.27443299999996
2679492,24-06-2020,1,Anjing,60,Rabies,Kalimantan Tengah,Kotawaringin Barat,Arut Selatan,Pasir Panjang,111.674830146214,-2.67921257049997
2683802,03-03-2020,1,Anjing,60,Rabies,Sumatera Utara,Mandailing Natal,Panyabungan Barat,Runding,99.5830670428259,0.855641779000052
2478294,21-05-2020,1,Anjing,60,Rabies,Bali,Karang Asem,Abang,Datah,115.579569680351,-8.32574799999995
2476591,18-05-2020,1,Anjing,60,Rabies,Kalimantan Selatan,Hulu Sungai Utara,Banjang,Pulau Damar,115.295360476406,-2.45662050099997
2683083,04-03-2020,1,anjing lokal,62,Rabies,Nusa Tenggara Barat,Kota Bima,Rasanae Barat,Sarae,118.740385603462,-8.43566999849998
2683838,02-11-2020,1,Anjing,60,Rabies,Sumatera Utara,Mandailing Natal,Siabu,Sihepeng,99.5022213640893,1.10808592550003
2681941,15-07-2020,2,Anjing,60,Rabies,Sulawesi Tengah,Morowali Utara,Lembo Raya,Petumbea,121.232443508518,-2.25977468149995
2464986,28-04-2020,1,Anjing,60,Rabies,Bali,Bangli,Bangli,Kawan,115.365386077268,-8.44563899999997
2591686,10-11-2020,1,Anjing,60,Rabies,Kalimantan Selatan,Tabalong,Tanta,Warukin,115.404306079357,-2.26400549949994
2590896,09-11-2020,1,anjing lokal,62,Rabies,Nusa Tenggara Barat,Sumbawa,Moyo Hulu,Batutering,117.485556833006,-8.64500299899996
2399100,31-01-2020,1,kera,68,Rabies,Jambi,Muaro Jambi,Sekernan,Sengeti,103.528965392994,-1.45445853449993
2671939,14-12-2020,2,anjing kampung,519,Rabies,Sulawesi Tengah,Buol,Biau,Kulango,121.369206608335,1.19120824100006
2680196,04-09-2020,1,Anjing,60,Rabies,Sulawesi Tengah,Palu,Palu Utara,Mamboro,119.940178401488,-0.833385258499931
2410242,13-02-2020,1,Anjing,60,Rabies,Nusa Tenggara Barat,Sumbawa,Labangka,Jaya Makmur,117.65359284831,-8.88264149899996
2436198,17-03-2020,1,kucing,64,Rabies,Sumatera Barat,Pasaman Barat,Lembah Melintang,Ujung Gading,99.6309061400144,0.365706189000065
