caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2671004,08-04-2020,1,sapi bali,24,Babesiosis,Kepulauan Riau,Tanjung Pinang,Tanjung Pinang Kota,Kampung Bugis,104.467006766823,0.955068916000045
2680271,31-08-2020,3,sapi bali,24,Babesiosis,Sumatera Barat,Pesisir Selatan,Silaut,Air Hitam,101.026188,-2.413364
2681061,15-08-2020,14,babi,55,Babesiosis,Sulawesi Tengah,Morowali Utara,Mori Utara,Mayumba,121.057694867569,-1.97395676099995
2664188,11-05-2020,1,sapi po,32,Babesiosis,Kepulauan Riau,Batam,Galang,Sembulang,104.198619807601,0.831792295000042
2681075,15-09-2020,12,babi,55,Babesiosis,Sulawesi Tengah,Morowali Utara,Mori Utara,Tiwaa,121.114858501161,-2.01946675499997
2412296,15-02-2020,3,sapi bali,24,Babesiosis,Jambi,Merangin,Pamenang,Keroya,102.512008419728,-2.09963285849994
2679470,29-05-2020,1,sapi,22,Babesiosis,Kalimantan Tengah,Kotawaringin Barat,Arut Selatan,Umpang,111.745481327937,-2.07612490649996
