caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2678922,18-08-2020,2,sapi bali,24,Jembrana,Sumatera Barat,Pesisir Selatan,Silaut,Air Hitam,101.026188,-2.413364
2510737,11-07-2020,1,sapi bali,24,Jembrana,Jambi,Tebo,Tengah Ilir,Lubuk Mandarasah,102.726049462603,-1.32719933899995
2690430,22-01-2020,15,sapi aceh,23,Jembrana,Sumatera Utara,Labuhan Batu Selatan,Torgamba,Asam Jawa,100.162383372033,1.86371618050003
2691115,01-05-2020,25,sapi bali,24,Jembrana,Sumatera Utara,Labuhan Batu Selatan,Kota Pinang,Kota Pinang,100.108913388871,1.89403247350003
2432154,11-03-2020,1,sapi bali,24,Jembrana,Jambi,Tebo,Tengah Ilir,Lubuk Mandarasah,102.726049462603,-1.32719933899995
2682333,21-04-2020,24,sapi bali,24,Jembrana,Sumatera Utara,Labuhan Batu,Bilah Hulu,S Enam Aek Nabara,100.042059760439,2.02670812050005
2601661,26-11-2020,2,sapi bali,24,Jembrana,Riau,Siak,Sungai Mandau,Sungai Selodang,101.649106265252,0.756751924500037
2677475,15-12-2020,4,sapi bali,24,Jembrana,Bengkulu,Kaur,Kinal,Jawi,103.295567359276,-4.54908618199994
2510738,11-07-2020,1,sapi bali,24,Jembrana,Jambi,Tebo,Tengah Ilir,Lubuk Mandarasah,102.726049462603,-1.32719933899995
2676120,15-10-2020,25,sapi bali,24,Jembrana,Bengkulu,Bengkulu Selatan,Pinoraya,Pagar Gading,102.909347233099,-4.31112449849996
2676126,15-10-2020,16,sapi bali,24,Jembrana,Bengkulu,Bengkulu Selatan,Pinoraya,Tungkal I,102.882549332138,-4.35840449799997
2676185,15-11-2020,4,sapi bali,24,Jembrana,Bengkulu,Bengkulu Selatan,Pinoraya,Badung Ayu,102.892519545123,-4.34761349899995
2669612,15-10-2020,1,sapi,22,Jembrana,Riau,Indragiri Hilir,Tembilahan,Pekan Arba,103.082952325384,-0.309891223499932
