caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2671520,07-07-2020,5,sapi,22,Septichaemia Epizootica,Sumatera Selatan,Ogan Komering Ilir,Mesuji Raya,Gedung Rejo,105.157642945417,-3.77302149949998
2677257,22-03-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Karya Jaya,122.370918,-1.438069
2677270,16-03-2020,2,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Sidoharjo,122.297463263264,-1.44681572399995
2668936,01-02-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Minahaki,122.325490597283,-1.50894772449993
2677239,15-03-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Tou,122.410373,-1.435456
2673920,15-05-2020,1,babi,55,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Jerebuu,Dariwali I,120.97970474101,-8.88602098999996
2677274,26-03-2020,2,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Karang Anyar,122.397614,-1.413859
2677567,05-01-2020,5,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Poso,Lage,Toyado,120.815584086144,-1.47599214149994
2677286,31-03-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Mulyo Harjo,122.310313034436,-1.42407190299994
2668942,15-02-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Karang Anyar,122.397614,-1.413859
2677263,25-03-2020,2,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Bumi Harjo,122.313434987109,-1.48006021449996
2677278,30-03-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Slamet Harjo,122.322560428558,-1.44179880149994
2668643,15-01-2020,3,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Luwuk Utara,Bunga,122.914254326948,-0.900911415999929
2673922,15-05-2020,1,babi,55,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Jerebuu,Tiworiwu II,120.97970474101,-8.88602098999996
2677248,26-03-2020,2,ayam,3,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Saluan,122.349412908672,-1.47985582999993
2677565,06-01-2020,3,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Poso,Lage,Toyado,120.815584086144,-1.47599214149994
2682166,01-08-2020,5,sapi,22,Septichaemia Epizootica,Jawa Barat,Kota Bekasi,Bekasi Utara,Harapanbaru,107.020900819641,-6.21279358849995
2683993,12-10-2020,1,sapi,22,Septichaemia Epizootica,Sumatera Utara,Asahan,Sei Kepayang,Sei Kepayang Tengah,99.9106522683972,2.92528461500004
2668622,17-01-2020,3,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Luwuk Utara,Kamumu,122.879996456132,-0.869575763999961
2677261,16-03-2020,2,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Bumi Harjo,122.313434987109,-1.48006021449996
2684066,15-09-2020,1,babi,55,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Jerebuu,Dariwali I,120.97970474101,-8.88602098999996
2677255,18-03-2020,3,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Minakarya,122.291292215635,-1.46662920199995
2691098,07-02-2020,1,sapi,22,Septichaemia Epizootica,Sumatera Utara,Labuhan Batu Selatan,Kota Pinang,Mampang,100.037968079837,1.82849299400004
2668939,15-02-2020,2,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Minakarya,122.291292215635,-1.46662920199995
2673655,15-05-2020,1,babi,55,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Soa,Seso,121.032553888143,-8.69937348999997
2696051,17-11-2020,2,sapi po,32,Septichaemia Epizootica,Sumatera Utara,Tanjung Balai,Datuk Bandar Timur,Bunga Tanjung,99.7913550725837,2.89164065400004
2677233,23-03-2020,2,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Moilong,122.386106,-1.424646
2691106,18-03-2020,2,sapi,22,Septichaemia Epizootica,Sumatera Utara,Labuhan Batu Selatan,Silangkitang,Ulu Mahuam,99.931046632974,1.90718632350004
2668934,01-02-2020,1,sapi,22,Septichaemia Epizootica,Sulawesi Tengah,Banggai,Moilong,Moilong,122.386106,-1.424646
2673660,15-05-2020,4,babi,55,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Soa,Libunio,121.058625633344,-8.70692648999994
