caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3514849,27-08-2022,4,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Sipungguk,101.077795328267,0.30711650050003
3514840,13-07-2022,26,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Ganting,101.059220590448,0.25360689650006
3514859,06-08-2022,22,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Ganting,101.059220590448,0.25360689650006
3514827,06-09-2022,8,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Tanjung,100.665458986127,0.210052639000054
3514822,22-08-2022,10,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Tanjung,100.665458986127,0.210052639000054
3507363,28-12-2022,52,kerbau Lumpur,123,Septichaemia Epizootica,Jawa Barat,Purwakarta,Babakancikao,Cicadas,107.408471686355,-6.51257014249995
3514862,17-09-2022,26,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Ganting Damai,101.065800083495,0.215878948000039
3514836,10-09-2022,4,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Muara Takus,100.676500230384,0.29201011300006
3514825,29-08-2022,30,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Tanjung,100.665458986127,0.210052639000054
3517137,27-12-2022,77,kerbau,36,Septichaemia Epizootica,Jambi,Sarolangun,Sarolangun,Bernai,102.661818895974,-2.26442241599995
3517132,21-11-2022,1,kerbau,36,Septichaemia Epizootica,Jambi,Sarolangun,Pelawan,Pasar Pelawan,102.690463475379,-2.43354189349995
3514832,27-08-2022,149,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Muara Takus,100.676500230384,0.29201011300006
3514527,31-08-2022,94,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Gunung Bungsu,100.678128230749,0.242565460000037
3507367,28-12-2022,76,kerbau Lumpur,123,Septichaemia Epizootica,Jawa Barat,Purwakarta,Babakancikao,Hegarmanah,107.416518938743,-6.51592683749993
3074154,15-02-2022,1,sapi,22,Septichaemia Epizootica,Sumatera Utara,Pematang Siantar,Siantar Martoba,Pondok Sayur,99.0736526802844,3.00245295400003
3517129,12-11-2022,30,kerbau,36,Septichaemia Epizootica,Jambi,Sarolangun,Sarolangun,Sarolangun Kembang,102.730426692027,-2.29889511999994
3514844,30-07-2022,10,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Ganting,101.059220590448,0.25360689650006
3517130,12-11-2022,1,kerbau,36,Septichaemia Epizootica,Jambi,Sarolangun,Sarolangun,Gunung kembang,102.684489441419,-2.25656377449994
3514852,19-07-2022,2,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Salo Timur,101.067298719133,0.169129479500043
3514870,17-08-2022,3,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Gunung Bungsu,100.678128230749,0.242565460000037
3517134,21-11-2022,1,kerbau,36,Septichaemia Epizootica,Jambi,Sarolangun,Sarolangun,Gunung kembang,102.684489441419,-2.25656377449994
3514539,07-09-2022,8,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Xiii Koto Kampar,Gunung Bungsu,100.678128230749,0.242565460000037
3514920,01-08-2022,6,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Ganting,101.059220590448,0.25360689650006
3514921,26-07-2022,2,kerbau,36,Septichaemia Epizootica,Riau,Kampar,Salo,Ganting,101.059220590448,0.25360689650006
