caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2727684,12-05-2021,1,sapi fh,35,Keguguran,Jawa Tengah,Salatiga,Argomulyo,Noborejo,110.500255176096,-7.38252399949994
2722270,04-05-2021,1,sapi fh,35,Keguguran,Jawa Tengah,Salatiga,Argomulyo,Noborejo,110.500255176096,-7.38252399949994
2657488,17-02-2021,1,domba garut,48,Keguguran,Jawa Barat,Kota Cirebon,Harjamukti,Argasunya,108.5414207002,-6.77451443649994
2657502,17-02-2021,3,domba,46,Keguguran,Jawa Barat,Kota Cirebon,Harjamukti,Argasunya,108.5414207002,-6.77451443649994
2657499,17-02-2021,1,domba garut,48,Keguguran,Jawa Barat,Kota Cirebon,Harjamukti,Argasunya,108.5414207002,-6.77451443649994
