caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2783268,27-07-2021,1,kucing lokal,66,tidak diketahui,Sumatera Barat,Pasaman,Lubuk Sikaping,Tanjung Beringin,100.173966488934,0.110684927500046
2860022,17-10-2021,1,kucing,64,tidak diketahui,Bali,Bangli,Tembuku,Jehem,115.380307716401,-8.42475849999994
2713085,22-04-2021,1,anjing kampung,519,tidak diketahui,Sumatera Barat,Pasaman Barat,Pasaman,Lingkuang Aua,99.8642872110878,0.117413788500045
2839000,28-09-2021,1,Anjing,60,tidak diketahui,Riau,Kampar,Tapung Hulu,Kasikan,100.913868715811,0.498814500000037
2621057,04-01-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Tembuku,Peninjoan,115.409210797858,-8.40841849999995
2888602,12-11-2021,1,Anjing,60,tidak diketahui,Sumatera Barat,Pasaman Barat,Kinali,Kinali,99.9351601384464,-0.065911955999951
2789937,05-08-2021,1,Anjing,60,tidak diketahui,Bali,Badung,Mengwi,Penarungan,115.182653238417,-8.54904949999997
2670470,02-03-2021,1,kucing kampung,520,tidak diketahui,Sulawesi Tengah,Morowali,Bungku Tengah,Marsaoleh,121.958606851719,-2.58146249549995
2727852,13-05-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Bangli,Cempaga,115.369397506748,-8.42444149999997
2691975,26-03-2021,1,Anjing,60,tidak diketahui,Riau,Kampar,Tapung Hulu,Kusau Makmur,100.790760075587,0.60848680600003
2928536,30-12-2021,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Sail,Cinta Raja,101.464708325362,0.474366307000054
2747171,11-06-2021,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Rumbai Timur,Limbungan Baru,101.493493272306,0.536078172500055
2772374,13-07-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Susut,Susut,115.331490132683,-8.43897149999995
2703754,12-04-2021,1,Anjing luar dewasa,220,tidak diketahui,Sumatera Barat,Lima Puluh Kota,Akabiluru,Batu Hampa,100.568994048868,-0.232645659999974
2799109,19-08-2021,1,anjing lokal,62,tidak diketahui,Riau,Pekanbaru,Bina Widya,Sidomulyo Barat,101.404622531934,0.438211104000061
2916004,13-12-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Bangli,Pengotan,115.378898603365,-8.34164949999993
2805116,27-08-2021,1,anjing lokal,62,tidak diketahui,Riau,Pekanbaru,Senapelan,Padang Bulan,101.42925763706,0.512335300000046
2781004,23-07-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Tembuku,Yangapi,115.394226307955,-8.40930699999996
2677284,09-03-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Kintamani,Belancan,115.324673867006,-8.28210999999996
2910559,06-12-2021,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Rumbai,Sri Meranti,101.401251360761,0.547949373000051
2814816,03-09-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Susut,Selat,115.324465,-8.437185
2689223,22-03-2021,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Moyo Utara,Penyaring,117.482225229946,-8.42586898149995
2684170,16-03-2021,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Bukit Raya,Air Dingin,101.456006,0.450152
2652026,10-02-2021,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Moyo Utara,Sebewe,117.492225051827,-8.46347099999994
2866754,24-10-2021,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Moyo Utara,Penyaring,117.482225229946,-8.42586898149995
2717541,28-04-2021,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Bukit Raya,Tengkerang Selatan,101.487304009548,0.427924335000057
2792780,10-08-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Kintamani,Pinggan,115.38960764603,-8.20839849999996
2769356,08-07-2021,1,Anjing luar dewasa,220,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Lenangguar,Lenangguar,117.410864556815,-8.73246349999997
2845330,01-10-2021,1,anjing kampung,519,tidak diketahui,Sumatera Barat,Pasaman Barat,Pasaman,Aua Kuniang,99.9166418810981,0.124297775000059
2682901,15-03-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Kintamani,Songan B,115.437791803159,-8.20918199999994
2755746,22-06-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Kintamani,Mangguh,115.30809425018,-8.31327699999997
2664763,25-02-2021,1,Anjing,60,tidak diketahui,Nusa Tenggara Timur,Manggarai,Wae Rii,Wae Rii,120.464685469932,-8.59554199399994
2805066,27-08-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Susut,Sulahan,115.340327968072,-8.41798349999993
2711031,20-04-2021,3000,itik,10,tidak diketahui,Sulawesi Selatan,Pinrang,Paleteang,Temmassarangnge,119.658264184782,-3.76204919649993
2781826,25-07-2021,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Moyo Utara,Penyaring,117.482225229946,-8.42586898149995
2705730,14-04-2021,1,Anjing,60,tidak diketahui,Sumatera Barat,Kota Solok,Lubuk Sikarah,Aro Iv Korong,100.660055529626,-0.783920882499928
2741297,03-06-2021,1,Anjing luar dewasa,220,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Lunyuk,Suka Maju,117.211174486235,-8.92585099999994
2861153,18-10-2021,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Bina Widya,Tobekgodang,,
2781494,24-07-2021,1,sapi,22,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Moyo Utara,Penyaring,117.482225229946,-8.42586898149995
2744365,08-06-2021,1,kucing,64,tidak diketahui,Sumatera Barat,Lima Puluh Kota,Akabiluru,Batu Hampa,100.568994048868,-0.232645659999974
2907296,01-12-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Susut,Abuan,115.338868437903,-8.46892249999996
2764808,02-07-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Kintamani,Kintamani,115.357807136869,-8.24597649999995
2705388,14-04-2021,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Rumbai Timur,Limbungan,101.468367775199,0.544504204000049
2769087,08-07-2021,5,babi,55,tidak diketahui,Kalimantan Utara,Malinau,Mentarang,Long Gafid,116.286030034707,3.77886986750005
2915406,12-12-2021,1,kucing,64,tidak diketahui,Bali,Bangli,Bangli,Bebalang,115.361002912024,-8.46847599999995
2789940,05-08-2021,1,Anjing,60,tidak diketahui,Bali,Badung,Mengwi,Penarungan,115.182653238417,-8.54904949999997
2658407,18-02-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Kintamani,Songan B,115.437791803159,-8.20918199999994
2921345,20-12-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Tembuku,Jehem,115.380307716401,-8.42475849999994
2738700,31-05-2021,1,Anjing,60,tidak diketahui,Bali,Klungkung,Dawan,Dawan Kaler,115.443294913118,-8.52313049999995
2709601,19-04-2021,1,anjing kampung,519,tidak diketahui,Sumatera Barat,Pasaman Barat,Pasaman,Lingkuang Aua,99.8642872110878,0.117413788500045
2922109,21-12-2021,1,Anjing,60,tidak diketahui,Sumatera Barat,Pasaman Barat,Pasaman,Aua Kuniang,99.9166418810981,0.124297775000059
2791696,09-08-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Tembuku,Tembuku,115.390129894924,-8.43226499999997
2769351,08-07-2021,1,Anjing,60,tidak diketahui,Riau,Kampar,Tapung Hulu,Rimba Beringin,101.053281089933,0.667168795000066
2700673,07-04-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Susut,Penglumbaran,115.343502869255,-8.38885249999996
2698266,03-04-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Kintamani,Terunyan,115.435808438258,-8.23162199999996
2871365,27-10-2021,1,Anjing,60,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Buer,Labuhan Burung,117.061619309205,-8.45064949999994
2883958,09-11-2021,1,Anjing,60,tidak diketahui,Sulawesi Barat,Pasangkayu,Pasangkayu,Gunung Sari,119.455923,-1.207827
2717223,27-04-2021,1,Anjing,60,tidak diketahui,Sumatera Barat,Lima Puluh Kota,Mungka,Mungka,100.59100240052,-0.0832883249999554
2824680,13-09-2021,1,kucing,64,tidak diketahui,Sumatera Barat,Lima Puluh Kota,Akabiluru,Batu Hampa,100.568994048868,-0.232645659999974
2688680,22-03-2021,1,Anjing luar dewasa,220,tidak diketahui,Sumatera Barat,Lima Puluh Kota,Akabiluru,Batu Hampa,100.568994048868,-0.232645659999974
2814027,03-09-2021,1,Anjing,60,tidak diketahui,Sumatera Barat,Pasaman Barat,Pasaman,Aua Kuniang,99.9166418810981,0.124297775000059
2709320,19-04-2021,1,anjing kampung,519,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Sumbawa,Samapuin,117.459439906387,-8.52686949949995
2663819,24-02-2021,1,kucing,64,tidak diketahui,Riau,Siak,Bunga Raya,Jaya Pura,102.022263229796,0.86025080050004
2694827,30-03-2021,1,Anjing,60,tidak diketahui,Bali,Bangli,Kintamani,Sukawana,115.35247045184,-8.20798849999994
2904106,29-11-2021,1,Anjing,60,tidak diketahui,Riau,Pekanbaru,Payung Sekaki,Labuh Baru Barat,101.357233974156,0.495997607000049
2916303,13-12-2021,1,kucing,64,tidak diketahui,Riau,Pekanbaru,Marpoyan Damai,Sidomulyo Timur,101.403705535314,0.419329955500046
2883933,09-11-2021,1,Anjing,60,tidak diketahui,Sulawesi Barat,Pasangkayu,Bambalamotu,Bambalamotu,119.517439378531,-1.15717199949995
2670936,03-03-2021,1,Anjing,60,tidak diketahui,Sulawesi Barat,Pasangkayu,Bambalamotu,Bambalamotu,119.517439378531,-1.15717199949995
2743403,07-06-2021,1,anjing lokal,62,tidak diketahui,Riau,Kampar,Tambang,Kuapan,101.305237477465,0.379542429500049
2826922,16-09-2021,1,Anjing luar dewasa,220,tidak diketahui,Bali,Bangli,Bangli,Kayubihi,115.371424983778,-8.37754299999995
2659652,19-02-2021,1,anjing kampung,519,tidak diketahui,Nusa Tenggara Barat,Sumbawa,Labuhan Badas,Labuan Sumbawa,117.403965338674,-8.47432349899995
2742594,05-06-2021,1,Anjing,60,tidak diketahui,Riau,Kampar,Tapung Hulu,Kasikan,100.913868715811,0.498814500000037
