caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2622239,06-01-2021,1,anjing lokal,62,Kecelakaan,Jawa Barat,Subang,Cijambe,Sukahurip,107.759537545816,-6.60680818549994
2881329,05-11-2021,1,Anjing,60,Kecelakaan,Jawa Barat,Kota Sukabumi,Lembursitu,Cikundul,106.906465989834,-6.97025966599995
2805262,27-08-2021,1,kucing,64,Kecelakaan,Jawa Barat,Kota Sukabumi,Gunung Puyuh,Gunung Puyuh,106.903603299248,-6.92312788949997
2796203,16-08-2021,1,Anjing,60,Kecelakaan,Jawa Barat,Kota Sukabumi,Lembursitu,Lembursitu,106.868178085511,-6.97006034849994
2622229,06-01-2021,1,anjing lokal,62,Kecelakaan,Jawa Barat,Subang,Subang,Wanareja,107.789580609374,-6.59693050399994
2645085,02-02-2021,1,Anjing,60,Kecelakaan,Jawa Barat,Kota Sukabumi,Citamiang,Citamiang,106.916097299451,-6.93872642499997
2622213,06-01-2021,1,Anjing,60,Kecelakaan,Jawa Barat,Subang,Subang,Wanareja,107.789580609374,-6.59693050399994
2800044,20-08-2021,1,anjing kampung,519,Kecelakaan,Jawa Barat,Bekasi,Pebayuran,Karangreja,107.225389791173,-6.14636874199996
2622231,06-01-2021,1,anjing lokal,62,Kecelakaan,Jawa Barat,Subang,Pagaden Barat,Sumurgintung,107.766604376919,-6.50905919099995
