caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2670151,05-10-2021,6,sapi potong,77,Bovine Viral Diarrhea,Gorontalo,Gorontalo Utara,Biau,Sembihingan,122.389174467213,0.892006751000054
2932510,15-10-2021,4,sapi bali,24,Bovine Viral Diarrhea,Kalimantan Tengah,Murung Raya,Murung,Danau Usung,114.71651343505,-0.497282102499952
2682506,01-03-2021,2,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Pangkatan,Kampung Pangkatan,100.051874467542,2.18820082550005
2949904,02-02-2021,20,sapi,22,Bovine Viral Diarrhea,Papua,Nabire,Nabire Barat,Kalisemen,135.437738344057,-3.43212619299996
2680548,25-01-2021,1,sapi ongole,31,Bovine Viral Diarrhea,Sumatera Utara,Langkat,Sei Lepan,Lama,98.2703682021753,3.94936653650004
2777575,24-02-2021,1,sapi,22,Bovine Viral Diarrhea,Kepulauan Riau,Karimun,Kundur,Lubuk,103.405446733986,0.683041960000054
2682419,17-02-2021,3,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Barat,Afdeling Ii Rantau Prapat,99.8045757456728,2.16369234800004
2682387,04-02-2021,2,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Hilir,Sei Kasih,100.117114953249,2.37657200700005
2682492,01-03-2021,3,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Hilir,Selat Besar,100.092249286316,2.43238758400005
2682458,24-02-2021,3,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Rantau Selatan,Sidorejo,99.8816195164992,2.03553461400006
2682488,26-02-2021,6,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Hulu,Kampung Dalam,99.897427987389,2.00896411500005
2726594,01-05-2021,4,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu Utara,Aek Kuo,Karang Anyar,99.8411464528363,2.33460187200006
2681133,14-01-2021,11,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Hulu,Kampung Dalam,99.897427987389,2.00896411500005
2682372,20-01-2021,7,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Barat,Janji,99.8106572752588,2.12324261000003
2680580,05-03-2021,1,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Langkat,Sei Lepan,Harapan Jaya,98.1116979445519,3.86903043950005
2777571,23-02-2021,1,kucing,64,Bovine Viral Diarrhea,Kepulauan Riau,Karimun,Kundur Utara,Sungai Asam,103.394983849128,0.855455966500045
2682472,26-02-2021,4,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Panai Hilir,Sei Penggantungan,100.076860721491,2.63828765650004
2674945,15-01-2021,1,sapi,22,Bovine Viral Diarrhea,Jawa Timur,Probolinggo,Lumbang,Sapih,113.017645065449,-7.88424897199994
2682666,15-03-2021,3,sapi po,32,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu,Bilah Barat,Kampung Baru,99.7844251404857,2.18055998550005
2696099,13-01-2021,8,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu Utara,Kualuh Hulu,Parpaudangan,99.6189835618675,2.55290423900007
2793361,22-06-2021,2,sapi bali,24,Bovine Viral Diarrhea,Sumatera Utara,Toba Samosir,Lagu Boti,Sibarani Nasampulu,99.1280773006679,2.32620047350005
2866757,02-08-2021,9,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Labuhan Batu Utara,Aek Natas,Perk Halimbe,99.6621158259885,2.32117747400005
2680559,10-02-2021,1,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Langkat,Sei Lepan,Harapan Jaya,98.1116979445519,3.86903043950005
2680562,08-01-2021,1,sapi,22,Bovine Viral Diarrhea,Sumatera Utara,Langkat,Gebang,Dogang,98.4016353575065,3.93051549750007
