caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2777853,28-06-2021,1,sapi po,32,Babesiosis,Kepulauan Riau,Batam,Sekupang,Tanjung Riau,103.955261149229,1.07669079300007
2768974,15-06-2021,1,sapi bali,24,Babesiosis,Sumatera Barat,Pesisir Selatan,Air Pura,Damar Lapan Batang Inderapura,101.0104,-1.932222
2777842,28-07-2021,3,sapi bali,24,Babesiosis,Kepulauan Riau,Batam,Galang,Karas,104.250959418371,0.748887062000051
2769463,22-06-2021,1,sapi,22,Babesiosis,Kepulauan Riau,Bintan,Bintan Utara,Lancang Kuning,104.275354065529,1.06622827050006
2777847,27-05-2021,5,sapi bali,24,Babesiosis,Kepulauan Riau,Batam,Sekupang,Tanjung Riau,103.955261149229,1.07669079300007
