caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2749133,14-01-2021,7,sapi,22,Cacingan,Sumatera Utara,Langkat,Padang Tualang,Kwala Besilam,98.3642584491736,3.86876341550004
2939633,02-01-2021,5,sapi,22,Cacingan,Sumatera Selatan,Musi Rawas,Sumber Harta,Sumber Harta,102.920697409395,-2.99965399899997
2937505,12-08-2021,3,sapi,22,Cacingan,Sulawesi Tengah,Banggai Kepulauan,Tinangkung Utara,Palam,123.47921,-1.283353
2948157,11-11-2021,8,sapi,22,Cacingan,Sumatera Utara,Langkat,Wampu,Kebun Balok,98.3596020074935,3.69116720600005
2935021,08-03-2021,2,sapi,22,Cacingan,Jawa Timur,Kota Blitar,Kepanjenkidul,Tanggung,112.168064844235,-8.06439876549996
2945979,15-01-2021,3,sapi,22,Cacingan,Bengkulu,Bengkulu Selatan,Manna,Kayu Kunyit,102.952021733856,-4.44382499949995
2910077,01-11-2021,7,sapi,22,Cacingan,Sumatera Utara,Asahan,Sei Dadap,Sei Kamah I,99.7088267027734,2.96012054900004
2769564,17-02-2021,4,sapi,22,Cacingan,Kepulauan Riau,Kepulauan Anambas,Palmatak,Piabung,106.288153,3.284732
2746961,09-04-2021,2,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Tengah,Harapan Jaya,108.248020050235,3.91220867650006
2959722,12-11-2021,1,sapi,22,Cacingan,Sumatera Utara,Langkat,Bahorok,Pekan Bahorok,98.1656928745112,3.43520113650007
2939767,09-07-2021,1,kucing,64,Cacingan,Kepulauan Riau,Karimun,Karimun,Sungai Lakam,103.422594812587,1.00241500100006
3141088,15-05-2021,2,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Aimere,Foa,120.880399545477,-8.83721899199998
2788028,31-05-2021,5,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Utara,Kelarik,108.062758878922,4.01104629000005
2873973,19-05-2021,9,sapi,22,Cacingan,Sumatera Utara,Langkat,Padang Tualang,Kwala Besilam,98.3642584491736,3.86876341550004
3141073,15-06-2021,3,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Aimere,Keligejo,120.874190704743,-8.77295149149995
2934281,02-08-2021,2,sapi,22,Cacingan,Jawa Timur,Kota Blitar,Sananwetan,Gedog,112.189586153592,-8.08210325249996
2910742,28-11-2021,3,kambing,40,Cacingan,Sumatera Utara,Dairi,Tiga Lingga,Sarintonu,98.2516369952349,2.91568968150003
2777565,10-02-2021,2,kucing,64,Cacingan,Kepulauan Riau,Karimun,Kundur Barat,Kundur,103.371062269864,0.820824056500044
2775909,09-04-2021,1,sapi limosin,29,Cacingan,Jawa Timur,Kota Blitar,Kepanjenkidul,Tanggung,112.168064844235,-8.06439876549996
2682661,15-02-2021,14,sapi bali,24,Cacingan,Kepulauan Riau,Lingga,Lingga Utara,Limbung,104.836086743362,-0.173753801499942
2741148,17-03-2021,2,Anjing,60,Cacingan,Sulawesi Tengah,Poso,Pamona Pusulemba,Soe,120.487673592605,-1.66949981249996
2769577,25-05-2021,1,sapi,22,Cacingan,Kepulauan Riau,Kepulauan Anambas,Palmatak,Payamaram,106.276523406412,3.37371077300006
2691076,21-02-2021,1,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Tengah,Air Lengit,108.201681262719,3.94170928000003
2682032,15-09-2021,7,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Bajawa Utara,Nabelena,120.925883219994,-8.69671599149996
2933002,08-03-2021,1,kambing,40,Cacingan,Sulawesi Tengah,Morowali,Bungku Selatan,Pulau Dua Darat,122.187678852393,-3.01176165549995
2793370,31-07-2021,2,sapi po,32,Cacingan,Sumatera Utara,Toba Samosir,Permaksian,Tangga Batu II,99.184457,2.496083
3140933,15-05-2021,13,kambing,40,Cacingan,Nusa Tenggara Timur,Ngada,Wolomeze,Denatana,121.062816465487,-8.63012198999996
3134419,15-01-2021,11,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Wolomeze,Nginamanu,121.120193142018,-8.64601849049996
2721704,27-04-2021,1,sapi,22,Cacingan,Sumatera Utara,Serdang Bedagai,Sipispis,Pispis,99.020855996222,3.16546819900006
2799545,01-07-2021,2,sapi,22,Cacingan,Sumatera Utara,Serdang Bedagai,Sipispis,Marjanji,99.0286785846646,3.19541643350004
2914540,17-02-2021,3,sapi,22,Cacingan,Aceh,Sabang,Sukajaya,Paya,95.2927360514755,5.79618551950003
2767196,16-02-2021,7,sapi,22,Cacingan,Jawa Barat,Cirebon,Waled,Karangsari,108.681097015346,-6.89145326649995
2914521,26-01-2021,2,sapi,22,Cacingan,Aceh,Sabang,Sukajaya,Cot Ba U,95.3386552444689,5.86145690050006
2741147,16-03-2021,1,Anjing,60,Cacingan,Sulawesi Tengah,Poso,Pamona Pusulemba,Sangele,120.652549441251,-1.78961968249996
2914400,14-11-2021,1,sapi bali,24,Cacingan,Kepulauan Riau,Kepulauan Anambas,Siantan Timur,Nyamuk,106.402991224833,3.02553021900005
2880070,16-09-2021,3,sapi bali,24,Cacingan,Kepulauan Riau,Natuna,Bunguran Timur,Sungai Ulu,108.281885778763,3.87826776500003
2941784,28-06-2021,1,babi,55,Cacingan,Nusa Tenggara Timur,Rote Ndao,Lobalain,Sanggaoen,123.060155373404,-10.7893099545
3141035,15-05-2021,7,babi,55,Cacingan,Nusa Tenggara Timur,Ngada,Golewa,Sangadeto,121.05837725078,-8.77373148999996
3134240,15-01-2021,2,sapi,22,Cacingan,Nusa Tenggara Timur,Ngada,Bajawa Utara,Inegena,120.984667424792,-8.69333048999994
