caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
2680556,15-02-2021,1,sapi,22,Septichaemia Epizootica,Sumatera Utara,Langkat,Sei Lepan,Harapan Jaya,98.1116979445519,3.86903043950005
2941822,19-07-2021,11,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Singkil Utara,Telaga Sakti,98.1421791105432,2.32222410900005
3140917,15-05-2021,2,sapi,22,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Soa,Masu Kedhi,121.058625633344,-8.70692648999994
2941873,17-08-2021,1,sapi,22,Septichaemia Epizootica,Nusa Tenggara Timur,Rote Ndao,Rote Barat,Mbueain,122.823014149853,-10.794839961
2941812,31-07-2021,47,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Singkil Utara,Gosong Telaga Barat,97.8566558324017,2.30982873300005
2768908,15-06-2021,1,sapi pesisir,26,Septichaemia Epizootica,Sumatera Barat,Pesisir Selatan,Air Pura,Damar Lapan Batang Inderapura,101.0104,-1.932222
2941709,10-08-2021,1,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Gunung Meriah,Kampong Perangusan,97.9495508799868,2.42532071950004
2793357,24-06-2021,1,sapi bali,24,Septichaemia Epizootica,Sumatera Utara,Toba Samosir,Siantar Narumonda,Narumonda I,99.1971972276989,2.43929182300005
2941771,07-08-2021,3,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Singkil,Kampong Pulo Sarok,97.8128551320737,2.29619977300007
2941845,13-07-2021,1,sapi,22,Septichaemia Epizootica,Nusa Tenggara Timur,Rote Ndao,Rote Barat,Sedeoen,122.853590742664,-10.861504961
2941692,10-08-2021,10,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Gunung Meriah,Kampong Tanah Merah,97.8826257400639,2.40124854850006
2941786,20-07-2021,3,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Singkil Utara,Gosong Telaga Timur,98.0601138040001,2.28169200500005
3140649,15-04-2021,1,kambing,40,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Riung,Benteng Tengah,121.012216613804,-8.43986898999995
2680553,11-01-2021,1,sapi,22,Septichaemia Epizootica,Sumatera Utara,Langkat,Sei Lepan,Harapan Jaya,98.1116979445519,3.86903043950005
2768854,15-06-2021,4,sapi,22,Septichaemia Epizootica,Sumatera Barat,Pesisir Selatan,Air Pura,Damar Lapan Batang Inderapura,101.0104,-1.932222
2941787,23-06-2021,1,sapi,22,Septichaemia Epizootica,Nusa Tenggara Timur,Rote Ndao,Lobalain,Sanggaoen,123.060155373404,-10.7893099545
3140925,15-05-2021,1,kerbau,36,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Soa,Libunio,121.058625633344,-8.70692648999994
3136703,15-03-2021,1,sapi,22,Septichaemia Epizootica,Nusa Tenggara Timur,Ngada,Soa,Libunio,121.058625633344,-8.70692648999994
2941768,26-07-2021,10,kerbau,36,Septichaemia Epizootica,Aceh,Aceh Singkil,Singkil,Kampong Pulo Sarok,97.8128551320737,2.29619977300007
