caseid,tanggal,cases,hewan,spid,disease,prop,kab,kec,desa,lon,lat
3521749,12-01-2023,1,Anjing,60,Rabies,Bali,Tabanan,Tabanan,Sudimara,115.085028710056,-8.59555749999996
3523496,13-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Melaya,Manistutu,114.598499159511,-8.26626499999998
3519163,10-01-2023,1,Anjing luar anak,219,Rabies,Bali,Bangli,Kintamani,Manikliyu,115.314505113723,-8.26807899999997
3514027,04-01-2023,1,Anjing luar dewasa,220,Rabies,Bali,Buleleng,Buleleng,Paket Agung,115.102630413258,-8.13777649999997
3514627,05-01-2023,1,Anjing,60,Rabies,Bali,Tabanan,Selemadeg,Antap,114.974183701934,-8.49936099999996
3511912,02-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Jembrana,Sangkaragung,114.64850672635,-8.37838399999995
3515489,06-01-2023,1,Anjing,60,Rabies,Bali,Tabanan,Pupuan,Pajahan,115.000706368218,-8.35608049999996
3518609,10-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Melaya,Nusa Sari,114.497520767422,-8.27324499999995
3521153,12-01-2023,1,Anjing luar dewasa,220,Rabies,Bali,Bangli,Kintamani,Abuan,115.323777936064,-8.31207199999994
3516363,07-01-2023,1,Anjing,60,Rabies,Bali,Klungkung,Klungkung,Semarapura Kelod Kangin,115.398127415726,-8.54818349999996
3511749,02-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Melaya,Ekasari,114.583558900641,-8.22850749999995
3528108,17-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Negara,Banyubiru,114.553722065162,-8.34299849999996
3526504,16-01-2023,1,Anjing,60,Rabies,Bali,Karang Asem,Karang Asem,Seraya Timur,115.674254681463,-8.43276199999994
3531156,19-01-2023,1,Anjing,60,Rabies,Bali,Gianyar,Tampak Siring,Tampaksiring,115.311423746569,-8.44011849999995
3529671,17-01-2023,1,Anjing,60,Rabies,Bali,Karang Asem,Sidemen,Tri Eka Buana,115.453825965505,-8.50253699999996
3518752,10-01-2023,1,Anjing,60,Rabies,Bali,Karang Asem,Abang,Tri Buana,115.603641477328,-8.38582463949996
3517459,09-01-2023,1,Anjing,60,Rabies,Nusa Tenggara Timur,Sikka,Magepanda,Reroroja,122.015012998665,-8.55708197949994
3515566,06-01-2023,1,Anjing,60,Rabies,Bali,Klungkung,Banjarangkan,Bungbungan,115.371773069582,-8.48296649999997
3518691,10-01-2023,1,Anjing,60,Rabies,Bali,Karang Asem,Sidemen,Kertha Buana,115.428384342402,-8.50474849999995
3518584,10-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Negara,Banyubiru,114.553722065162,-8.34299849999996
3526176,16-01-2023,1,Anjing luar dewasa,220,Rabies,Bali,Buleleng,Kubutambahan,Kubutambahan,115.20563336775,-8.08410899999996
3517286,09-01-2023,1,Anjing luar dewasa,220,Rabies,Bali,Bangli,Susut,Abuan,115.338868437903,-8.46892249999996
3525081,16-01-2023,1,Anjing dalam dewasa,218,Rabies,Bali,Buleleng,Busungbiu,Tinggarsari,114.979356783642,-8.29502649999995
3518988,10-01-2023,1,Anjing,60,Rabies,Bali,Jembrana,Pekutatan,Gumbrih,114.8837245,-8.43572299999997
3527060,17-01-2023,1,Anjing dalam dewasa,218,Rabies,Bali,Bangli,Kintamani,Bayunggede,115.352207326219,-8.29554249999995
